Evénement - Niveau 1;Evénement - Niveau 2;Evénement - Niveau 3;Evénement - Niveau 4;Evénements;CTR;;;;;;
selligent;display;VDN_250204_undersocial_playlist_enduropale - undersocial;N/A;26174;0,42%;;;;;;
selligent;click;VDN_250204_undersocial_playlist_enduropale - undersocial;cta playlist;110;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date d'envoi;Nom du mail;Details clics;Nombre d'utilisateurs;Total clics;;;;;;;
10/02/2025;Newsletter - VDS Sports;cta-playlist-enduropale;3;4;;;;;;;
09/02/2025;Newsletter - VDS Sports;cta-playlist-enduropale;3;3;;;;;;;
08/02/2025;Newsletter - VDS Sports;cta-playlist-enduropale;2;2;;;;;;;
07/02/2025;Newsletter - VDS Sports;cta-playlist-enduropale;1;1;;;;;;;
06/02/2025;Newsletter - VDS Sports;cta-playlist-enduropale;1;1;;;;;;;
;;;10;11;;;;;;;
;;;;;;;;;;;
Date d'envoi;Campagne;#Mails cibles;#Mails delivres;#Rebonds;Taux de delivrabilite;#Vues uniques;Taux d'ouverture;#Clics uniques;Taux de clic;Taux de reactivite;Taux de desabo
09/02/2025;VDN_20250209_COM_ENDURO_VERTICALE;567694;567226;468;99,92%;81345;14,34%;1680;0,30%;2,07%;0,00%
