Evénement - Niveau 1;Evénement - Niveau 2;Evénement - Niveau 3;Evénement - Niveau 4;Evénements;CTR;;Evénement - Niveau 1;Evénement - Niveau 2;Evénement - Niveau 3;Evénement - Niveau 4;Evénements;CTR;;;;;;
selligent;display;VDN_250122_undersocial_saint_valentin_phase_1 - undersocial;N/A;5665502;0,04%;;selligent;display;VDN_250214_undersocial_saint_valentin_phase_2 - undersocial;N/A;827206;0,12%;;;;;;
selligent;click;VDN_250122_undersocial_saint_valentin_phase_1 - undersocial;cta playlist;2134;;;selligent;click;VDN_250214_undersocial_saint_valentin_phase_2 - undersocial;cta;968;;;;;;;
selligent;display;VDN_250122_subheader_saint_valentin_phase_1 Promo - sub header;N/A;1382715;0,06%;;selligent;display;VDN_250214_subheader_saint_valentin_phase_2 Promo - sub header;N/A;132930;0,12%;;;;;;
selligent;click;VDN_250122_subheader_saint_valentin_phase_1 CTA desktop;CTA desktop;498;;;selligent;click;VDN_250214_subheader_saint_valentin_phase_2 CTA desktop;CTA desktop;92;;;;;;;
selligent;click;VDN_250122_subheader_saint_valentin_phase_1 CTA mobile;CTA mobile;322;;;selligent;click;VDN_250214_subheader_saint_valentin_phase_2 CTA mobile;CTA mobile;72;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Date d'envoi;Nom du mail;Details clics;Nombre d'utilisateurs;Total clics;;;Date d'envoi;Nom du mail;Details clics;Nombre d'utilisateurs;Total clics;;;;;;;
13/02/2025;Newsletter - VDN Quotidienne Matin;Saint-Valentin;14;15;;;20/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin-phase-2;57;66;;;;;;;
13/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin;30;33;;;19/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin-phase-2;64;72;;;;;;;
12/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin;49;58;;;18/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin-phase-2;52;63;;;;;;;
11/02/2025;Newsletter - VDN Quotidienne Matin;Saint-Valentin;16;19;;;17/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin-phase-2;57;70;;;;;;;
10/02/2025;Newsletter - VDN Quotidienne Matin;Saint-Valentin;18;21;;;16/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin-phase-2;57;67;;;;;;;
10/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin;67;76;;;15/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin-phase-2;64;69;;;;;;;
09/02/2025;Newsletter - VDN Quotidienne Matin;Saint-Valentin;13;18;;;14/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin-phase-2;80;99;;;;;;;
08/02/2025;Newsletter - VDN Quotidienne Matin;Saint-Valentin;17;21;;;13/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin-phase-2;20;27;;;;;;;
07/02/2025;Newsletter - VDN Quotidienne Soir;saint-valentin;55;66;;;;;;451;533;;;;;;;
06/02/2025;Newsletter - VDN Quotidienne Matin;Saint-Valentin;17;20;;;;;;;;;;;;;;
04/02/2025;Newsletter - VDN Quotidienne Matin;Saint-Valentin;15;17;;;Date d'envoi;Campagne;#Mails cibles;#Mails delivres;#Rebonds;Taux de delivrabilite;#Vues uniques;Taux d'ouverture;#Clics uniques;Taux de clic;Taux de reactivite;Taux de desabo
