Evénement - Niveau 1;Evénement - Niveau 2;Evénement - Niveau 3;Evénement - Niveau 4;Evénements;CTR;;;;;;
selligent;display;VDN_240901_undersocial_offre_80ans - undersocial;N/A;6717010;0,11%;;;;;;
selligent;click;VDN_240901_undersocial_offre_80ans - undersocial;cta;7562;;;;;;;
selligent;display;VDN_240905_undersocial_anniv80ans - undersocial;N/A;1352204;0,09%;;;;;;
selligent;click;VDN_240905_undersocial_anniv80ans - undersocial;cta;1273;;;;;;;
selligent;display;VDN_241104_undersocial_offre_80ans - undersocial;N/A;2 972 240;0,10%;;;;;;
selligent;click;VDN_241104_undersocial_offre_80ans - undersocial;cta;3050;;;;;;;
selligent;display;VDN_241106_subheader_offre_80ans Promo - sub header;N/A;5861917;0,02%;;;;;;
selligent;click;VDN_241106_subheader_offre_80ans CTA mobile;CTA mobile;726;;;;;;;
selligent;click;VDN_241106_subheader_offre_80ans CTA desktop;CTA desktop;161;;;;;;;
selligent;display;VDN_240905_bandeau_sticky_80ans;N/A;4965496;0,04%;;;;;;
selligent;click;VDN_240905_bandeau_sticky_80ans;fermeture;2310;;;;;;;
selligent;click;VDN_240905_bandeau_sticky_80ans;cta;2212;;;;;;;
selligent;display;VDN_240901_bandeau_btq_offre_80ans_mobile - bandeau_btq_mobile;N/A;19430;11,36%;;;;;;
selligent;click;VDN_240901_bandeau_btq_offre_80ans_mobile - bandeau_btq_mobile;cta;2208;;;;;;;
selligent;display;VDN_240901_bandeau_btq_offre_80ans_desktop - bandeau_btq_desktop;N/A;9468;4,01%;;;;;;
selligent;click;VDN_240901_bandeau_btq_offre_80ans_desktop - bandeau_btq_desktop;cta;380;;;;;;;
selligent;display;VDN_241104_bandeau_btq_offre_80ans - bandeau_btq_80ans;N/A;10918;0,06%;;;;;;
selligent;click;VDN_241104_bandeau_btq_offre_80ans - bandeau_btq_80ans;cta;7;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date d'envoi;Nom du mail;Details clics;Nombre d'utilisateurs;Total clics;;;;;;;
14/11/2024;CX_VDN_VDN20241114_MDG - Edition Matin;cta abo 80ans;14;19;;;;;;;
13/11/2024;CX_VDN_VDN20241113_MDG - Edition Matin;cta abo 80ans;20;20;;;;;;;
12/11/2024;CX_VDN_VDN20241112_MDG - Edition Matin;cta abo 80ans;15;16;;;;;;;
11/11/2024;CX_VDN_VDN20241111_MDG - Edition Matin;cta abo 80ans;17;28;;;;;;;
11/11/2024;CX_VDN_VDN20241111_MDG - Edition Soir abo;cta abo 80ans;15;16;;;;;;;
11/11/2024;CX_VDN_VDN20241111_MDG - Edition Soir nonabo;cta abo 80ans;60;65;;;;;;;
10/11/2024;CX_VDN_VDN20241110_MDG - Edition Matin;cta abo 80ans;16;17;;;;;;;
10/11/2024;CX_VDN_VDN20241110_MDG - Edition Soir abo;cta abo 80ans;19;20;;;;;;;
10/11/2024;CX_VDN_VDN20241110_MDG - Edition Soir nonabo;cta abo 80ans;68;77;;;;;;;
09/11/2024;CX_VDN_VDN20241109_MDG - Edition Matin;cta abo 80ans;18;18;;;;;;;
