Evénement - Niveau 1;Evénement - Niveau 2;Evénement - Niveau 3;Evénement - Niveau 4;Evénements;CTR;;;;;;
selligent;display;VDN_240927_undersocial_Trucmuche - undersocial;N/A;2 281 952;0.10%;;;;;;
selligent;click;VDN_240927_undersocial_Trucmuche - undersocial;cta;2 345;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date d'envoi;Campagne;#Mails cibles;#Mails delivres;#Rebonds;Taux de delivrabilite;#Vues uniques;Taux d'ouverture;#Clics uniques;Taux de clic;Taux de reactivite;Taux de desabo
24/10/2024;VDN_20241024_fid_trucmuche_rappel_fin_de_jeu;42488;42475;13;99,97%;13072;30,78%;275;0,65%;2,10%;0,00%
18/10/2024;VDN_20241018_fid_trucmuche_bulletin_numÃ©rique_abonnes_2;13881;13865;16;99,88%;4469;32,23%;302;2,18%;6,76%;0,00%
10/10/2024;VDN_202401010_fid_trucmuche_promo_collections_inscrits;518294;517735;559;99,89%;76155;14,71%;2823;0,55%;3,71%;0,00%
10/10/2024;VDN_202401010_fid_trucmuche_promo_collections_abonnes;42764;42728;36;99,92%;12279;28,74%;260;0,61%;2,12%;0,00%
03/10/2024;VDN_20240903_fid_trucmuche_bulletin_numÃ©rique_abonnes;42902;42865;37;99,91%;13397;31,25%;1493;3,48%;11,14%;0,00%
27/09/2024;VDN_20230929_fid_trucmuche_lancement_inscrits;509044;508421;623;99,88%;76492;15,05%;3925;0,77%;5,13%;0,00%
27/09/2024;VDN_20240927_fid_trucmuche_demarrage_abonnes;43264;43236;28;99,94%;13137;30,38%;942;2,18%;7,17%;0,00%
;;1212637;1211325;1312;99,91%;209001;26,16%;10020;1,49%;5,45%;0,00%
